"BehaviorSpace results (NetLogo 6.0.4)"
"behaviour-field7.nlogo"
"Sensitivity-asoc"
"07/22/2019 09:33:27:297 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","initial-pro","networks","construct-non","rebound","mutate-on?","network-param","initial-non","network-type","niche-construction","random-seed?","social-learning","asocial-learning","rseed","mu","number-of-agents","construct-pro","pro-amount","[step]","mean [pro-env] of turtles","mean [non-env] of turtles","standard-deviation [pro-env] of turtles","standard-deviation [non-env] of turtles","pro-behavior","non-behavior"
"72","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.46169932922772444","0.5334031807219196","0.22433389884955676","0.22722578157769527","131","169"
"73","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.546747786048708","0.45212229280201144","0.24142797774840113","0.2371623139766834","161","139"
"74","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.5994204047255546","0.39197605742451475","0.194778581345421","0.18972312360900515","186","114"
"75","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.6488444507314202","0.3476631781468757","0.1741085965097857","0.17563585805064502","210","90"
"76","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.33050574562425716","0.6763442343125057","0.15575325801728446","0.16409922589815196","91","209"
"77","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.4741896131457648","0.5436497929939902","0.20885529552593687","0.20742897391470655","137","163"
"79","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.4984630408197093","0.5286403577605407","0.20002104296206322","0.20650077076878062","143","157"
"78","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.470867818560327","0.527133159955051","0.2096589584411626","0.21139199172534873","139","161"
"80","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.4145664471595649","0.5889186527494004","0.19284940975093778","0.18913337579412104","117","183"
"81","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.5419187160404733","0.44896534414594175","0.215818539207907","0.2190817202036921","159","141"
"82","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.35781987848751656","0.6448937844776079","0.16598245162525294","0.16148848223423584","94","206"
"83","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.53763531232131","0.4628144314974186","0.20161770154052944","0.20104608435206267","167","133"
"84","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.46157491446614773","0.5606312895638021","0.21343695919060623","0.2180532828072415","119","181"
"85","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.4558514614453672","0.5392264906421738","0.22279482585392207","0.224236582962657","142","158"
"86","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.38758691544257173","0.6069051470845459","0.18775191192271626","0.1924844709527974","116","184"
