"BehaviorSpace results (NetLogo 6.0.4)"
"affordance-landscape.nlogo"
"Copenhagen timeseries batch"
"07/31/2019 13:52:15:321 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","networks","initial-pro","construct-non","mutate-on?","network-param","initial-non","network-type","niche-construction","random-seed?","social-learning","rseed","asocial-learning","mu","number-of-agents","construct-pro","pro-amount","[step]","pro-behavior","non-behavior","mean [pro-env] of turtles","mean [non-env] of turtles"
"149","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.4","0.4","17885","74","226","0.2489442916585989","0.7804467565339518"
"151","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.5","0.4","17885","63","237","0.21828573977997398","0.7790043546253788"
"152","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.5","0.4","17885","63","237","0.2003500133287944","0.7275442701371159"
"150","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.4","0.4","17885","51","249","0.2005891068833894","0.8059152562411588"
"153","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.5","0.4","17885","56","244","0.20132829322532328","0.7973169320139417"
"155","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.5","0.4","17885","56","244","0.2072092929255199","0.7971574852682656"
"154","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.5","0.4","17885","67","233","0.19732130421115884","0.7585235880714883"
"156","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.5","0.4","17885","62","238","0.20704286695947843","0.8040031105395435"
"157","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.5","0.4","17885","56","244","0.20462790697123792","0.7983275031197081"
"158","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.5","0.4","17885","54","246","0.20234865843323388","0.7937755726226617"
"161","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.5","0.4","17885","70","230","0.26054420731322786","0.7791443630760672"
